Id,Id2,Geography,Estimate; Total,Margin of Error; Total
0500000US05107,05107,"Phillips County, Arkansas",20868,*****
0500000US05111,05111,"Poinsett County, Arkansas",24281,*****
0500000US05113,05113,"Polk County, Arkansas",20479,*****
0500000US05115,05115,"Pope County, Arkansas",62611,*****
0500000US05119,05119,"Pulaski County, Arkansas",389001,*****
0500000US05123,05123,"St. Francis County, Arkansas",27688,*****
0500000US05125,05125,"Saline County, Arkansas",112083,*****
0500000US05131,05131,"Sebastian County, Arkansas",127243,*****
0500000US05139,05139,"Union County, Arkansas",41004,*****
0500000US05143,05143,"Washington County, Arkansas",211919,*****
0500000US05145,05145,"White County, Arkansas",78404,*****
0500000US05149,05149,"Yell County, Arkansas",21920,*****
0500000US06001,06001,"Alameda County, California",1554725,*****
0500000US06005,06005,"Amador County, California",37005,*****
0500000US06007,06007,"Butte County, California",221006,*****
0500000US06009,06009,"Calaveras County, California",44788,*****
0500000US06011,06011,"Colusa County, California",21373,*****
0500000US06013,06013,"Contra Costa County, California",1079460,*****
0500000US06015,06015,"Del Norte County, California",28202,*****
0500000US06017,06017,"El Dorado County, California",181095,*****
0500000US06019,06019,"Fresno County, California",947942,*****
0500000US06021,06021,"Glenn County, California",28023,*****
0500000US06023,06023,"Humboldt County, California",134768,*****
0500000US06025,06025,"Imperial County, California",176416,*****
0500000US06029,06029,"Kern County, California",856363,*****
0500000US06031,06031,"Kings County, California",151445,*****
0500000US06033,06033,"Lake County, California",64040,*****
0500000US06035,06035,"Lassen County, California",33362,*****
0500000US06037,06037,"Los Angeles County, California",9951320,*****
0500000US06039,06039,"Madera County, California",152255,*****
0500000US06041,06041,"Marin County, California",256486,*****
0500000US06045,06045,"Mendocino County, California",87333,*****
0500000US06047,06047,"Merced County, California",261493,*****
0500000US06053,06053,"Monterey County, California",425414,*****
0500000US06055,06055,"Napa County, California",139042,*****
0500000US06057,06057,"Nevada County, California",98394,*****
0500000US06059,06059,"Orange County, California",3084550,*****
0500000US06061,06061,"Placer County, California",361892,*****
0500000US06065,06065,"Riverside County, California",2264491,*****
0500000US06067,06067,"Sacramento County, California",1448487,*****
0500000US06069,06069,"San Benito County, California",56867,*****
0500000US06071,06071,"San Bernardino County, California",2076322,*****
0500000US06073,06073,"San Diego County, California",3175313,*****
0500000US06075,06075,"San Francisco County, California",826626,*****
0500000US06077,06077,"San Joaquin County, California",700220,*****
0500000US06079,06079,"San Luis Obispo County, California",274106,*****
0500000US06081,06081,"San Mateo County, California",738114,*****
0500000US06083,06083,"Santa Barbara County, California",430616,*****
0500000US06085,06085,"Santa Clara County, California",1836454,*****
0500000US06087,06087,"Santa Cruz County, California",266908,*****
0500000US06089,06089,"Shasta County, California",178422,*****
0500000US06093,06093,"Siskiyou County, California",44249,*****
0500000US06095,06095,"Solano County, California",420628,*****
0500000US06097,06097,"Sonoma County, California",491057,*****
0500000US06099,06099,"Stanislaus County, California",521597,*****
0500000US06101,06101,"Sutter County, California",94916,*****
0500000US06103,06103,"Tehama County, California",63220,*****
0500000US06107,06107,"Tulare County, California",450964,*****
0500000US06109,06109,"Tuolumne County, California",54209,*****
0500000US06111,06111,"Ventura County, California",834880,*****
0500000US06113,06113,"Yolo County, California",203504,*****
0500000US06115,06115,"Yuba County, California",72958,*****
0500000US08001,08001,"Adams County, Colorado",460320,*****
0500000US08005,08005,"Arapahoe County, Colorado",596249,*****
0500000US08013,08013,"Boulder County, Colorado",305284,*****
0500000US08014,08014,"Broomfield County, Colorado",58325,*****
0500000US08029,08029,"Delta County, Colorado",30424,*****
0500000US08031,08031,"Denver County, Colorado",634685,*****
0500000US08035,08035,"Douglas County, Colorado",298924,*****
0500000US08037,08037,"Eagle County, Colorado",52050,*****
0500000US08039,08039,"Elbert County, Colorado",23474,*****
0500000US08041,08041,"El Paso County, Colorado",645787,*****
0500000US08043,08043,"Fremont County, Colorado",46835,*****
0500000US08045,08045,"Garfield County, Colorado",56753,*****
0500000US08059,08059,"Jefferson County, Colorado",545384,*****
0500000US08067,08067,"La Plata County, Colorado",52539,*****
0500000US08069,08069,"Larimer County, Colorado",310604,*****
0500000US08075,08075,"Logan County, Colorado",22597,*****
0500000US08077,08077,"Mesa County, Colorado",147614,*****
0500000US08083,08083,"Montezuma County, Colorado",25505,*****
0500000US08085,08085,"Montrose County, Colorado",40793,*****
0500000US08087,08087,"Morgan County, Colorado",28429,*****
0500000US08101,08101,"Pueblo County, Colorado",160951,*****
0500000US08107,08107,"Routt County, Colorado",23312,*****
0500000US08117,08117,"Summit County, Colorado",28241,*****
0500000US08119,08119,"Teller County, Colorado",23329,*****
0500000US08123,08123,"Weld County, Colorado",263884,*****
0500000US09001,09001,"Fairfield County, Connecticut",933794,*****
0500000US09003,09003,"Hartford County, Connecticut",897426,*****
0500000US09005,09005,"Litchfield County, Connecticut",187795,*****
0500000US09007,09007,"Middlesex County, Connecticut",165741,*****
0500000US09009,09009,"New Haven County, Connecticut",863217,*****
0500000US09011,09011,"New London County, Connecticut",274239,*****
0500000US09013,09013,"Tolland County, Connecticut",152097,*****
0500000US09015,09015,"Windham County, Connecticut",117955,*****
0500000US10001,10001,"Kent County, Delaware",167382,*****
0500000US10003,10003,"New Castle County, Delaware",546059,*****
0500000US10005,10005,"Sussex County, Delaware",203488,*****
0500000US11001,11001,"District of Columbia, District of Columbia",633167,*****
0500000US12001,12001,"Alachua County, Florida",251635,*****
0500000US12003,12003,"Baker County, Florida",27050,*****
0500000US12005,12005,"Bay County, Florida",172251,*****
0500000US12007,12007,"Bradford County, Florida",27462,*****
0500000US12009,12009,"Brevard County, Florida",547403,*****
0500000US12011,12011,"Broward County, Florida",1812793,*****
0500000US12015,12015,"Charlotte County, Florida",162283,*****
0500000US12017,12017,"Citrus County, Florida",139467,*****
0500000US12019,12019,"Clay County, Florida",194268,*****
0500000US12021,12021,"Collier County, Florida",333294,*****
0500000US12023,12023,"Columbia County, Florida",67608,*****
0500000US12027,12027,"DeSoto County, Florida",34583,*****
0500000US12031,12031,"Duval County, Florida",879131,*****
0500000US12033,12033,"Escambia County, Florida",302964,*****
0500000US12035,12035,"Flagler County, Florida",98578,*****
0500000US12039,12039,"Gadsden County, Florida",46740,*****
0500000US12049,12049,"Hardee County, Florida",27246,*****
0500000US12051,12051,"Hendry County, Florida",37895,*****
0500000US12053,12053,"Hernando County, Florida",173549,*****
0500000US12055,12055,"Highlands County, Florida",97903,*****
0500000US12057,12057,"Hillsborough County, Florida",1280536,*****
0500000US12061,12061,"Indian River County, Florida",140509,*****
0500000US12063,12063,"Jackson County, Florida",48987,*****
0500000US12069,12069,"Lake County, Florida",303753,*****
0500000US12071,12071,"Lee County, Florida",645681,*****
0500000US12073,12073,"Leon County, Florida",281268,*****
0500000US12075,12075,"Levy County, Florida",39952,*****
0500000US12081,12081,"Manatee County, Florida",334409,*****
0500000US12083,12083,"Marion County, Florida",335036,*****
0500000US12085,12085,"Martin County, Florida",148992,*****
0500000US12086,12086,"Miami-Dade County, Florida",2592201,*****
0500000US12087,12087,"Monroe County, Florida",75076,*****
0500000US12089,12089,"Nassau County, Florida",74868,*****
0500000US12091,12091,"Okaloosa County, Florida",189122,*****
0500000US12093,12093,"Okeechobee County, Florida",39425,*****
0500000US12095,12095,"Orange County, Florida",1198989,*****
0500000US12097,12097,"Osceola County, Florida",288077,*****
0500000US12099,12099,"Palm Beach County, Florida",1354932,*****
0500000US12101,12101,"Pasco County, Florida",470938,*****
0500000US12103,12103,"Pinellas County, Florida",922744,*****
0500000US12105,12105,"Polk County, Florida",616447,*****
0500000US12107,12107,"Putnam County, Florida",73212,*****
0500000US12109,12109,"St. Johns County, Florida",202676,*****
0500000US12111,12111,"St. Lucie County, Florida",283981,*****
0500000US12113,12113,"Santa Rosa County, Florida",158486,*****
0500000US12115,12115,"Sarasota County, Florida",386055,*****
0500000US12117,12117,"Seminole County, Florida",431023,*****
0500000US12119,12119,"Sumter County, Florida",102372,*****
0500000US12121,12121,"Suwannee County, Florida",43580,*****
0500000US12123,12123,"Taylor County, Florida",22749,*****
0500000US12127,12127,"Volusia County, Florida",497341,*****
0500000US12129,12129,"Wakulla County, Florida",30937,*****
0500000US12131,12131,"Walton County, Florida",57715,*****
0500000US12133,12133,"Washington County, Florida",24688,*****
0500000US13009,13009,"Baldwin County, Georgia",45800,*****
0500000US13013,13013,"Barrow County, Georgia",70478,*****
0500000US13015,13015,"Bartow County, Georgia",100659,*****
0500000US13021,13021,"Bibb County, Georgia",155611,*****
0500000US13029,13029,"Bryan County, Georgia",32218,*****
0500000US13031,13031,"Bulloch County, Georgia",72244,*****
0500000US13033,13033,"Burke County, Georgia",23213,*****
0500000US13035,13035,"Butts County, Georgia",23467,*****
0500000US13039,13039,"Camden County, Georgia",51089,*****
0500000US13045,13045,"Carroll County, Georgia",111542,*****
0500000US13047,13047,"Catoosa County, Georgia",65048,*****
0500000US13051,13051,"Chatham County, Georgia",275789,*****
0500000US13055,13055,"Chattooga County, Georgia",25491,*****
0500000US13057,13057,"Cherokee County, Georgia",221310,*****
0500000US13059,13059,"Clarke County, Georgia",120054,*****
0500000US13063,13063,"Clayton County, Georgia",264132,*****
0500000US13067,13067,"Cobb County, Georgia",707248,*****
0500000US13069,13069,"Coffee County, Georgia",43126,*****
0500000US13071,13071,"Colquitt County, Georgia",46034,*****
0500000US13073,13073,"Columbia County, Georgia",131692,*****
0500000US13077,13077,"Coweta County, Georgia",131184,*****
0500000US13081,13081,"Crisp County, Georgia",23605,*****
0500000US13085,13085,"Dawson County, Georgia",22433,*****
0500000US13087,13087,"Decatur County, Georgia",27499,*****
0500000US13089,13089,"DeKalb County, Georgia",706093,*****
0500000US13091,13091,"Dodge County, Georgia",21354,*****
0500000US13095,13095,"Dougherty County, Georgia",93933,*****
0500000US13097,13097,"Douglas County, Georgia",134505,*****
0500000US13103,13103,"Effingham County, Georgia",53488,*****
0500000US13105,13105,"Elbert County, Georgia",19699,*****
0500000US13107,13107,"Emanuel County, Georgia",22759,*****
0500000US13111,13111,"Fannin County, Georgia",23573,*****
0500000US13113,13113,"Fayette County, Georgia",107680,*****
0500000US13115,13115,"Floyd County, Georgia",95988,*****
0500000US13117,13117,"Forsyth County, Georgia",188590,*****
0500000US13119,13119,"Franklin County, Georgia",21924,*****
0500000US13121,13121,"Fulton County, Georgia",970400,*****
0500000US13123,13123,"Gilmer County, Georgia",28356,*****
0500000US13127,13127,"Glynn County, Georgia",80882,*****
0500000US13129,13129,"Gordon County, Georgia",55634,*****
0500000US13131,13131,"Grady County, Georgia",25258,*****
0500000US13135,13135,"Gwinnett County, Georgia",841658,*****
0500000US13137,13137,"Habersham County, Georgia",43285,*****
0500000US13139,13139,"Hall County, Georgia",185229,*****
0500000US13143,13143,"Haralson County, Georgia",28472,*****
0500000US13145,13145,"Harris County, Georgia",32558,*****
0500000US13147,13147,"Hart County, Georgia",25480,*****
0500000US13151,13151,"Henry County, Georgia",208966,*****
0500000US13153,13153,"Houston County, Georgia",145957,*****
0500000US13157,13157,"Jackson County, Georgia",60692,*****
0500000US13169,13169,"Jones County, Georgia",28629,*****
0500000US13175,13175,"Laurens County, Georgia",48010,*****
0500000US13177,13177,"Lee County, Georgia",28800,*****
0500000US13179,13179,"Liberty County, Georgia",64919,*****
0500000US13185,13185,"Lowndes County, Georgia",113129,*****
0500000US13187,13187,"Lumpkin County, Georgia",30702,*****
0500000US13189,13189,"McDuffie County, Georgia",21608,*****
0500000US13195,13195,"Madison County, Georgia",28002,*****
0500000US13199,13199,"Meriwether County, Georgia",21393,*****
0500000US13205,13205,"Mitchell County, Georgia",23200,*****
0500000US13207,13207,"Monroe County, Georgia",26793,*****
0500000US13213,13213,"Murray County, Georgia",39362,*****
0500000US13215,13215,"Muscogee County, Georgia",198498,*****
0500000US13217,13217,"Newton County, Georgia",101497,*****
0500000US13219,13219,"Oconee County, Georgia",33602,*****
0500000US13223,13223,"Paulding County, Georgia",145229,*****
0500000US13225,13225,"Peach County, Georgia",27384,*****
0500000US13227,13227,"Pickens County, Georgia",29474,*****
0500000US13233,13233,"Polk County, Georgia",41209,*****
0500000US13237,13237,"Putnam County, Georgia",21272,*****
0500000US13245,13245,"Richmond County, Georgia",201960,*****
0500000US13247,13247,"Rockdale County, Georgia",86070,*****
0500000US13255,13255,"Spalding County, Georgia",63947,*****
0500000US13257,13257,"Stephens County, Georgia",25774,*****
0500000US13261,13261,"Sumter County, Georgia",31686,*****
0500000US13267,13267,"Tattnall County, Georgia",25385,*****
0500000US13275,13275,"Thomas County, Georgia",44676,*****
0500000US13277,13277,"Tift County, Georgia",40893,*****
0500000US13279,13279,"Toombs County, Georgia",27251,*****
0500000US13285,13285,"Troup County, Georgia",68433,*****
0500000US13291,13291,"Union County, Georgia",21447,*****
0500000US13293,13293,"Upson County, Georgia",26724,*****
0500000US13295,13295,"Walker County, Georgia",68299,*****
0500000US13297,13297,"Walton County, Georgia",84851,*****
0500000US13299,13299,"Ware County, Georgia",35896,*****
0500000US13303,13303,"Washington County, Georgia",20851,*****
0500000US13305,13305,"Wayne County, Georgia",30267,*****
0500000US13311,13311,"White County, Georgia",27602,*****
0500000US13313,13313,"Whitfield County, Georgia",103003,*****
0500000US13321,13321,"Worth County, Georgia",21639,*****
0500000US15001,15001,"Hawaii County, Hawaii",188761,*****
0500000US15003,15003,"Honolulu County, Hawaii",974683,*****
0500000US15007,15007,"Kauai County, Hawaii",68546,*****
0500000US15009,15009,"Maui County, Hawaii",158269,29
0500000US16001,16001,"Ada County, Idaho",408785,*****
0500000US16005,16005,"Bannock County, Idaho",83487,*****
0500000US16011,16011,"Bingham County, Idaho",45534,*****
0500000US16013,16013,"Blaine County, Idaho",21193,*****
0500000US16017,16017,"Bonner County, Idaho",40660,*****
0500000US16019,16019,"Bonneville County, Idaho",106737,*****
0500000US16027,16027,"Canyon County, Idaho",194687,*****
0500000US16031,16031,"Cassia County, Idaho",23241,*****
0500000US16039,16039,"Elmore County, Idaho",26257,*****
0500000US16051,16051,"Jefferson County, Idaho",26650,*****
0500000US16053,16053,"Jerome County, Idaho",22488,*****
0500000US16055,16055,"Kootenai County, Idaho",142541,*****
0500000US16057,16057,"Latah County, Idaho",37988,*****
0500000US16065,16065,"Madison County, Idaho",37664,*****
0500000US16067,16067,"Minidoka County, Idaho",20182,*****
0500000US16069,16069,"Nez Perce County, Idaho",39641,*****
0500000US16075,16075,"Payette County, Idaho",22613,*****
0500000US16083,16083,"Twin Falls County, Idaho",78846,*****
0500000US17001,17001,"Adams County, Illinois",67185,*****
0500000US17007,17007,"Boone County, Illinois",54013,*****
0500000US17011,17011,"Bureau County, Illinois",34336,*****
0500000US17019,17019,"Champaign County, Illinois",203586,*****
0500000US17021,17021,"Christian County, Illinois",34553,*****
0500000US17027,17027,"Clinton County, Illinois",38050,*****
0500000US17029,17029,"Coles County, Illinois",53705,*****
0500000US17031,17031,"Cook County, Illinois",5227094,*****
0500000US17037,17037,"DeKalb County, Illinois",104614,*****
0500000US17043,17043,"DuPage County, Illinois",927775,*****
0500000US17049,17049,"Effingham County, Illinois",34298,*****
0500000US17051,17051,"Fayette County, Illinois",22078,*****
0500000US17055,17055,"Franklin County, Illinois",39425,*****
0500000US17057,17057,"Fulton County, Illinois",36660,*****
0500000US17063,17063,"Grundy County, Illinois",50168,*****
0500000US17073,17073,"Henry County, Illinois",50110,*****
0500000US17075,17075,"Iroquois County, Illinois",29236,*****
0500000US17077,17077,"Jackson County, Illinois",60078,*****
0500000US17081,17081,"Jefferson County, Illinois",38693,*****
0500000US17083,17083,"Jersey County, Illinois",22743,*****
0500000US17085,17085,"Jo Daviess County, Illinois",22553,*****
0500000US17089,17089,"Kane County, Illinois",521561,*****
0500000US17091,17091,"Kankakee County, Illinois",112795,*****
0500000US17093,17093,"Kendall County, Illinois",118045,*****
0500000US17095,17095,"Knox County, Illinois",52331,*****
0500000US17097,17097,"Lake County, Illinois",701763,*****
0500000US17099,17099,"LaSalle County, Illinois",112871,*****
0500000US17103,17103,"Lee County, Illinois",35169,*****
0500000US17105,17105,"Livingston County, Illinois",38511,*****
0500000US17107,17107,"Logan County, Illinois",30085,*****
0500000US17109,17109,"McDonough County, Illinois",32515,*****
0500000US17111,17111,"McHenry County, Illinois",307684,*****
0500000US17113,17113,"McLean County, Illinois",172548,*****
0500000US17115,17115,"Macon County, Illinois",109942,*****
0500000US17117,17117,"Macoupin County, Illinois",47299,*****
0500000US17119,17119,"Madison County, Illinois",267870,*****
0500000US17121,17121,"Marion County, Illinois",38820,*****
0500000US17133,17133,"Monroe County, Illinois",33349,*****
0500000US17135,17135,"Montgomery County, Illinois",29726,*****
0500000US17137,17137,"Morgan County, Illinois",35322,*****
0500000US17141,17141,"Ogle County, Illinois",52796,*****
0500000US17143,17143,"Peoria County, Illinois",187463,*****
0500000US17145,17145,"Perry County, Illinois",22068,*****
0500000US17157,17157,"Randolph County, Illinois",33037,*****
0500000US17161,17161,"Rock Island County, Illinois",147397,*****
0500000US17163,17163,"St. Clair County, Illinois",268596,*****
0500000US17165,17165,"Saline County, Illinois",24968,*****
0500000US17167,17167,"Sangamon County, Illinois",199109,*****
0500000US17173,17173,"Shelby County, Illinois",22200,*****
0500000US17177,17177,"Stephenson County, Illinois",47031,*****
0500000US17179,17179,"Tazewell County, Illinois",136078,*****
0500000US17183,17183,"Vermilion County, Illinois",80809,*****
0500000US17195,17195,"Whiteside County, Illinois",57870,*****
0500000US17197,17197,"Will County, Illinois",681537,*****
0500000US17199,17199,"Williamson County, Illinois",66791,*****
0500000US17201,17201,"Winnebago County, Illinois",292054,*****
0500000US17203,17203,"Woodford County, Illinois",39063,*****
0500000US18001,18001,"Adams County, Indiana",34447,*****
0500000US18003,18003,"Allen County, Indiana",360698,*****
0500000US18005,18005,"Bartholomew County, Indiana",78740,*****
0500000US18011,18011,"Boone County, Indiana",59100,*****
0500000US18015,18015,"Carroll County, Indiana",20094,*****
0500000US18017,18017,"Cass County, Indiana",38683,*****
0500000US18019,18019,"Clark County, Indiana",112156,*****
0500000US18021,18021,"Clay County, Indiana",26850,*****
0500000US18023,18023,"Clinton County, Indiana",32981,*****
0500000US18027,18027,"Daviess County, Indiana",32179,*****
0500000US18029,18029,"Dearborn County, Indiana",49949,*****
0500000US18031,18031,"Decatur County, Indiana",26102,*****
0500000US18033,18033,"DeKalb County, Indiana",42318,*****
0500000US18035,18035,"Delaware County, Indiana",117570,*****
0500000US18037,18037,"Dubois County, Indiana",42239,*****
0500000US18039,18039,"Elkhart County, Indiana",199449,*****
0500000US18041,18041,"Fayette County, Indiana",23998,*****
0500000US18043,18043,"Floyd County, Indiana",75548,*****
0500000US18047,18047,"Franklin County, Indiana",22984,*****
0500000US18049,18049,"Fulton County, Indiana",20632,*****
0500000US18051,18051,"Gibson County, Indiana",33566,*****
0500000US18053,18053,"Grant County, Indiana",69387,*****
0500000US18055,18055,"Greene County, Indiana",32941,*****
0500000US18057,18057,"Hamilton County, Indiana",289719,*****
0500000US18059,18059,"Hancock County, Indiana",70981,*****
0500000US18061,18061,"Harrison County, Indiana",39183,*****
0500000US18063,18063,"Hendricks County, Indiana",151098,*****
0500000US18065,18065,"Henry County, Indiana",49199,*****
0500000US18067,18067,"Howard County, Indiana",82834,*****
0500000US18069,18069,"Huntington County, Indiana",36975,*****
0500000US18071,18071,"Jackson County, Indiana",43153,*****
0500000US18073,18073,"Jasper County, Indiana",33405,*****
0500000US18075,18075,"Jay County, Indiana",21363,*****
0500000US18077,18077,"Jefferson County, Indiana",32420,*****
0500000US18079,18079,"Jennings County, Indiana",28203,*****
0500000US18081,18081,"Johnson County, Indiana",143448,*****
0500000US18083,18083,"Knox County, Indiana",38149,*****
0500000US18085,18085,"Kosciusko County, Indiana",77674,*****
0500000US18087,18087,"LaGrange County, Indiana",37678,*****
0500000US18089,18089,"Lake County, Indiana",493136,*****
0500000US18091,18091,"LaPorte County, Indiana",111228,*****
0500000US18093,18093,"Lawrence County, Indiana",45994,*****
0500000US18095,18095,"Madison County, Indiana",130630,*****
0500000US18097,18097,"Marion County, Indiana",919356,*****
0500000US18099,18099,"Marshall County, Indiana",47050,*****
0500000US18103,18103,"Miami County, Indiana",36403,*****
0500000US18105,18105,"Monroe County, Indiana",141149,*****
0500000US18107,18107,"Montgomery County, Indiana",38265,*****
0500000US18109,18109,"Morgan County, Indiana",69463,*****
0500000US18113,18113,"Noble County, Indiana",47499,*****
0500000US18119,18119,"Owen County, Indiana",21370,*****
0500000US18127,18127,"Porter County, Indiana",165919,*****
0500000US18129,18129,"Posey County, Indiana",25583,*****
0500000US18133,18133,"Putnam County, Indiana",37669,*****
0500000US18135,18135,"Randolph County, Indiana",25824,*****
0500000US18137,18137,"Ripley County, Indiana",28551,*****
0500000US18141,18141,"St. Joseph County, Indiana",266624,*****
0500000US18143,18143,"Scott County, Indiana",23940,*****
0500000US18145,18145,"Shelby County, Indiana",44544,*****
0500000US18147,18147,"Spencer County, Indiana",20973,*****
0500000US18149,18149,"Starke County, Indiana",23209,*****
0500000US18151,18151,"Steuben County, Indiana",34206,*****
0500000US18153,18153,"Sullivan County, Indiana",21234,*****
0500000US18157,18157,"Tippecanoe County, Indiana",177741,*****
0500000US18163,18163,"Vanderburgh County, Indiana",180798,*****
0500000US18167,18167,"Vigo County, Indiana",108373,*****
0500000US18169,18169,"Wabash County, Indiana",32455,*****
0500000US18173,18173,"Warrick County, Indiana",60585,*****
0500000US18175,18175,"Washington County, Indiana",27963,*****
0500000US18177,18177,"Wayne County, Indiana",68308,*****
0500000US18179,18179,"Wells County, Indiana",27752,*****
0500000US18181,18181,"White County, Indiana",24485,*****
0500000US18183,18183,"Whitley County, Indiana",33303,*****
0500000US19011,19011,"Benton County, Iowa",25893,*****
0500000US19013,19013,"Black Hawk County, Iowa",131862,*****
0500000US19015,19015,"Boone County, Iowa",26305,*****
0500000US19017,19017,"Bremer County, Iowa",24489,*****
0500000US19019,19019,"Buchanan County, Iowa",20936,*****
0500000US19021,19021,"Buena Vista County, Iowa",20471,*****
0500000US19027,19027,"Carroll County, Iowa",20696,*****
0500000US19033,19033,"Cerro Gordo County, Iowa",43773,*****
0500000US19045,19045,"Clinton County, Iowa",48742,*****
0500000US19049,19049,"Dallas County, Iowa",72157,*****
0500000US19057,19057,"Des Moines County, Iowa",40291,*****
0500000US19061,19061,"Dubuque County, Iowa",95073,*****
